Column,Region_Name,Region_Number,Quarter
1,California_Q1,1,1
2,California_Q2,1,2
3,California_Q3,1,3
4,California_Q4,1,4
5,California_Q5,1,5
6,California_Q6,1,6
7,California_Q7,1,7
8,California_Q8,1,8
9,New York_Q1,2,1
10,New York_Q2,2,2
11,New York_Q3,2,3
12,New York_Q4,2,4
13,New York_Q5,2,5
14,New York_Q6,2,6
15,New York_Q7,2,7
16,New York_Q8,2,8
17,Texas_Q1,3,1
18,Texas_Q2,3,2
19,Texas_Q3,3,3
20,Texas_Q4,3,4
21,Texas_Q5,3,5
22,Texas_Q6,3,6
23,Texas_Q7,3,7
24,Texas_Q8,3,8
25,Florida_Q1,4,1
26,Florida_Q2,4,2
27,Florida_Q3,4,3
28,Florida_Q4,4,4
29,Florida_Q5,4,5
30,Florida_Q6,4,6
31,Florida_Q7,4,7
32,Florida_Q8,4,8
33,Ontario_Q1,5,1
34,Ontario_Q2,5,2
35,Ontario_Q3,5,3
36,Ontario_Q4,5,4
37,Ontario_Q5,5,5
38,Ontario_Q6,5,6
39,Ontario_Q7,5,7
40,Ontario_Q8,5,8
41,Quebec_Q1,6,1
42,Quebec_Q2,6,2
43,Quebec_Q3,6,3
44,Quebec_Q4,6,4
45,Quebec_Q5,6,5
46,Quebec_Q6,6,6
47,Quebec_Q7,6,7
48,Quebec_Q8,6,8
49,Lombardy_Q1,7,1
50,Lombardy_Q2,7,2
51,Lombardy_Q3,7,3
52,Lombardy_Q4,7,4
53,Lombardy_Q5,7,5
54,Lombardy_Q6,7,6
55,Lombardy_Q7,7,7
56,Lombardy_Q8,7,8
57,Ile-de-France_Q1,8,1
58,Ile-de-France_Q2,8,2
59,Ile-de-France_Q3,8,3
60,Ile-de-France_Q4,8,4
61,Ile-de-France_Q5,8,5
62,Ile-de-France_Q6,8,6
63,Ile-de-France_Q7,8,7
64,Ile-de-France_Q8,8,8
65,Bavaria_Q1,9,1
66,Bavaria_Q2,9,2
67,Bavaria_Q3,9,3
68,Bavaria_Q4,9,4
69,Bavaria_Q5,9,5
70,Bavaria_Q6,9,6
71,Bavaria_Q7,9,7
72,Bavaria_Q8,9,8
73,Madrid_Q1,10,1
74,Madrid_Q2,10,2
75,Madrid_Q3,10,3
76,Madrid_Q4,10,4
77,Madrid_Q5,10,5
78,Madrid_Q6,10,6
79,Madrid_Q7,10,7
80,Madrid_Q8,10,8
81,Greater London_Q1,11,1
82,Greater London_Q2,11,2
83,Greater London_Q3,11,3
84,Greater London_Q4,11,4
85,Greater London_Q5,11,5
86,Greater London_Q6,11,6
87,Greater London_Q7,11,7
88,Greater London_Q8,11,8
89,Stockholm_Q1,12,1
90,Stockholm_Q2,12,2
91,Stockholm_Q3,12,3
